,name,artists,uri,id,playlist_uris,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
spotify:track:5ZlfX4evbtQtONINsLADDR,Little Things,Big Thief,spotify:track:5ZlfX4evbtQtONINsLADDR,5ZlfX4evbtQtONINsLADDR,['spotify:playlist:1w7Ov7WTgX1YNQlbMhaQww'],0.34,0.924,1.0,-5.077,1.0,0.0347,0.256,0.925,0.248,0.736,96.104,344823.0,4.0
spotify:track:2ltjgZUx2DgxdYGxuyhNAd,Palm Beach,Vicente Garcia,spotify:track:2ltjgZUx2DgxdYGxuyhNAd,2ltjgZUx2DgxdYGxuyhNAd,"['spotify:playlist:1w7Ov7WTgX1YNQlbMhaQww', 'spotify:playlist:2QDNfypNEmQIobqCbhsuA0', 'spotify:playlist:5SEjaoFTj2LTfsHAv9idzG']",0.848,0.541,4.0,-9.305,1.0,0.0668,0.493,0.0,0.111,0.768,109.909,184907.0,4.0
spotify:track:2FwDApgXk91kXvqy2oB7dz,Simulation Swarm,Big Thief,spotify:track:2FwDApgXk91kXvqy2oB7dz,2FwDApgXk91kXvqy2oB7dz,"['spotify:playlist:1w7Ov7WTgX1YNQlbMhaQww', 'spotify:playlist:3lEs8vpSTb1Wc5IAAO4ZY3']",0.703,0.578,1.0,-9.103,1.0,0.0728,0.446,0.0024,0.102,0.67,105.204,252734.0,4.0
spotify:track:3HFBqhotJeEKHJzMEW31jZ,Change,Big Thief,spotify:track:3HFBqhotJeEKHJzMEW31jZ,3HFBqhotJeEKHJzMEW31jZ,['spotify:playlist:1w7Ov7WTgX1YNQlbMhaQww'],0.633,0.161,10.0,-12.892,1.0,0.0613,0.83,9.9e-05,0.263,0.546,132.57,295454.0,4.0
spotify:track:4PwWESSlTwzvw9B7bmtTLS,anything,Adrianne Lenker,spotify:track:4PwWESSlTwzvw9B7bmtTLS,4PwWESSlTwzvw9B7bmtTLS,"['spotify:playlist:1w7Ov7WTgX1YNQlbMhaQww', 'spotify:playlist:3lEs8vpSTb1Wc5IAAO4ZY3']",0.388,0.291,3.0,-12.952,1.0,0.0421,0.774,1.93e-05,0.0874,0.51,83.943,202047.0,4.0
spotify:track:11hEwcy9LMEvzAlOYAFhkK,"not a lot, just forever",Adrianne Lenker,spotify:track:11hEwcy9LMEvzAlOYAFhkK,11hEwcy9LMEvzAlOYAFhkK,"['spotify:playlist:1w7Ov7WTgX1YNQlbMhaQww', 'spotify:playlist:3lEs8vpSTb1Wc5IAAO4ZY3', 'spotify:playlist:1KUfjzRZrTJCHepmAbIgUD']",0.354,0.269,1.0,-13.242,1.0,0.0297,0.885,0.00035,0.0872,0.304,91.608,250198.0,4.0
spotify:track:0SuG9kyzGRpDqrCWtgD6Lq,Give Me Love,Ed Sheeran,spotify:track:0SuG9kyzGRpDqrCWtgD6Lq,0SuG9kyzGRpDqrCWtgD6Lq,['spotify:playlist:1w7Ov7WTgX1YNQlbMhaQww'],0.526,0.328,1.0,-9.864,1.0,0.0461,0.694,0.0,0.112,0.11,116.068,526387.0,4.0
spotify:track:1U6JWvRennx9ej9KJOYwDm,Una Lluna a l'Aigua,Txarango,spotify:track:1U6JWvRennx9ej9KJOYwDm,1U6JWvRennx9ej9KJOYwDm,"['spotify:playlist:1w7Ov7WTgX1YNQlbMhaQww', 'spotify:playlist:4t64Ah1H7zemnlN017eg60', 'spotify:playlist:3edg5bJesqA8iSitSomqjQ', 'spotify:playlist:5BZGBH5OsRBqchc6DFotUo', 'spotify:playlist:6SSzHD2rtSuU5iVAYmDRJ9', 'spotify:playlist:1p65SKpXlPpxaNc0v8pJl6', 'spotify:playlist:3otMmOlDRCXSFOy8RzLYkl']",0.711,0.833,0.0,-8.268,1.0,0.0965,0.113,0.0,0.349,0.83,100.07,217299.0,4.0
spotify:track:6SznMYPQJHzr3IwsAHLId2,Bibia Be Ye Ye,Ed Sheeran,spotify:track:6SznMYPQJHzr3IwsAHLId2,6SznMYPQJHzr3IwsAHLId2,"['spotify:playlist:1w7Ov7WTgX1YNQlbMhaQww', 'spotify:playlist:7hzMyOxPNDETExo1nkbC6X', 'spotify:playlist:1p65SKpXlPpxaNc0v8pJl6', 'spotify:playlist:3otMmOlDRCXSFOy8RzLYkl']",0.738,0.677,7.0,-5.121,1.0,0.0824,0.52,0.0,0.133,0.882,127.067,176747.0,4.0
spotify:track:23S3MJgIcgTd2QRj9enpx8,Tioga Pass (feat. Rocco Palladino),"Yussef Dayes, Rocco Palladino",spotify:track:23S3MJgIcgTd2QRj9enpx8,23S3MJgIcgTd2QRj9enpx8,"['spotify:playlist:1w7Ov7WTgX1YNQlbMhaQww', 'spotify:playlist:09jDOq978vmk1wgWcMolEw']",0.515,0.576,4.0,-9.865,0.0,0.0498,0.141,0.885,0.0775,0.316,91.086,476360.0,4.0
spotify:track:7qGAPavRijMOtbm7EzCaUq,Julie Mangos,"Tom Misch, Yussef Dayes",spotify:track:7qGAPavRijMOtbm7EzCaUq,7qGAPavRijMOtbm7EzCaUq,"['spotify:playlist:1w7Ov7WTgX1YNQlbMhaQww', 'spotify:playlist:0DPaePdY8Jeoyz4SDZNgRB', 'spotify:playlist:04bXjWSM5WsmiV3zoxKQVe', 'spotify:playlist:3mcwisUlvCHu1jm4puE47K']",0.45,0.528,0.0,-11.269,1.0,0.0811,0.232,0.0901,0.155,0.461,92.88,197099.0,4.0
spotify:track:28wERzXJWMb4Qx1bf9EXyW,The Real,"Tom Misch, Yussef Dayes",spotify:track:28wERzXJWMb4Qx1bf9EXyW,28wERzXJWMb4Qx1bf9EXyW,"['spotify:playlist:1w7Ov7WTgX1YNQlbMhaQww', 'spotify:playlist:0DPaePdY8Jeoyz4SDZNgRB']",0.51,0.456,2.0,-12.643,1.0,0.0485,0.282,0.0979,0.164,0.283,96.279,161895.0,4.0
spotify:track:2joEpsXflccZD0ZwKEdz5m,Sugar,Men I Trust,spotify:track:2joEpsXflccZD0ZwKEdz5m,2joEpsXflccZD0ZwKEdz5m,"['spotify:playlist:1w7Ov7WTgX1YNQlbMhaQww', 'spotify:playlist:0DPaePdY8Jeoyz4SDZNgRB', 'spotify:playlist:09jDOq978vmk1wgWcMolEw', 'spotify:playlist:7idh5TLAZ6BpREIEUmJPij']",0.823,0.461,9.0,-12.75,0.0,0.0366,0.647,0.327,0.14,0.798,114.026,176316.0,4.0
spotify:track:5z0Wa1EiCoaUafx83WszRY,That Life,Unknown Mortal Orchestra,spotify:track:5z0Wa1EiCoaUafx83WszRY,5z0Wa1EiCoaUafx83WszRY,['spotify:playlist:1w7Ov7WTgX1YNQlbMhaQww'],0.926,0.628,3.0,-5.246,1.0,0.047,0.069,0.00467,0.102,0.929,123.326,215867.0,4.0
spotify:track:6BKJgPiy3tYKnW7bIWiDej,Aguacate,Giorgio Siladi,spotify:track:6BKJgPiy3tYKnW7bIWiDej,6BKJgPiy3tYKnW7bIWiDej,"['spotify:playlist:1w7Ov7WTgX1YNQlbMhaQww', 'spotify:playlist:5LQGwzzqvqxrCkWiU4xziu', 'spotify:playlist:5YCXh657a8jnyQ2Hr3Yoh3', 'spotify:playlist:3lEs8vpSTb1Wc5IAAO4ZY3', 'spotify:playlist:2QDNfypNEmQIobqCbhsuA0', 'spotify:playlist:1XdfYt6t78yMFDhkjkTdjU']",0.894,0.523,8.0,-6.747,0.0,0.1,0.437,1.35e-05,0.405,0.854,125.987,207314.0,4.0
spotify:track:5ww2BF9slyYgNOk37BlC4u,La Bachata,Manuel Turizo,spotify:track:5ww2BF9slyYgNOk37BlC4u,5ww2BF9slyYgNOk37BlC4u,"['spotify:playlist:1w7Ov7WTgX1YNQlbMhaQww', 'spotify:playlist:5LQGwzzqvqxrCkWiU4xziu', 'spotify:playlist:1XdfYt6t78yMFDhkjkTdjU', 'spotify:playlist:7hzMyOxPNDETExo1nkbC6X', 'spotify:playlist:7hzMyOxPNDETExo1nkbC6X', 'spotify:playlist:7hzMyOxPNDETExo1nkbC6X']",0.835,0.679,7.0,-5.329,0.0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,162638.0,4.0
spotify:track:1RYuxP3H45CoeYZAYWDtBf,Dividimos (Bachata Version),"Nio Garcia, Flow La Movie",spotify:track:1RYuxP3H45CoeYZAYWDtBf,1RYuxP3H45CoeYZAYWDtBf,"['spotify:playlist:1w7Ov7WTgX1YNQlbMhaQww', 'spotify:playlist:5LQGwzzqvqxrCkWiU4xziu', 'spotify:playlist:3lEs8vpSTb1Wc5IAAO4ZY3', 'spotify:playlist:1XdfYt6t78yMFDhkjkTdjU']",0.78,0.698,7.0,-5.836,0.0,0.0447,0.0504,0.0,0.0915,0.822,148.144,280917.0,4.0
